backbone,best_val_acc,macro_f1,weighted_f1,params,best_epoch
resnet18,0.9623655913978495,0.9592059604000817,0.9622867954179809,11178564,12
mobilenet_v2,0.9516129032258065,0.9488514340799308,0.9511642965325666,2228996,15
resnet50,0.967741935483871,0.9646829126387397,0.9677282203203862,23516228,12
