,ABH,HMI,MI,Normal,accuracy,macro avg,weighted avg
precision,0.9555555555555556,0.9393939393939394,1.0,0.95,0.9623655913978495,0.9612373737373738,0.9623683067231453
recall,0.9148936170212766,0.9117647058823529,1.0,1.0,0.9623655913978495,0.9566645807259073,0.9623655913978495
f1-score,0.9347826086956522,0.9253731343283582,1.0,0.9743589743589743,0.9623655913978495,0.9586286793457462,0.9620211328726956
support,47.0,34.0,48.0,57.0,0.9623655913978495,186.0,186.0
