,precision,recall,f1-score,support
STChange,0.7916666666666666,0.5757575757575758,0.6666666666666666,264.0
Normal,0.8859470468431772,0.9560439560439561,0.919661733615222,910.0
accuracy,0.8705281090289608,0.8705281090289608,0.8705281090289608,0.8705281090289608
macro avg,0.8388068567549218,0.765900765900766,0.7931642001409442,1174.0
weighted avg,0.8647460073486297,0.8705281090289608,0.8627701683048142,1174.0
